MOVIE_ID,NAME,CATEGORY,ADDRESS
1295450,晚安，母亲,剧情,
3075963,棒球英豪2：再见的礼物,剧情,
1293318,萤火虫之墓,剧情,
1292995,天伦之旅,剧情,
1964025,亚尔斯兰战记,动画,
3199500,樱桃小丸子：我喜欢的歌,动画,
1303471,生生长流,剧情,
1887265,深海的童話,动画,
1306085,华盛顿城堡的圣徒,剧情,
1301867,烈日灼人,剧情,
1961978,麦克马丁审判案,剧情,
3258663,柳林风声,动画,
1767604,戒指,剧情,
1441097,跳跃大搜查线：97岁末特别警戒篇,剧情,
1305814,小树的故事,剧情,
4032011,心缘,剧情,
1420124,偶然与巧合,剧情,
