MOVIE_ID,NAME,ACTORS,COVER,DIRECTORS,DOUBAN_SCORE,GENRES,IMDB_ID,LANGUAGES,REGIONS,STORYLINE,YEAR
2352020,攻壳机动队SAC 2nd GIG：个别的十一人,田中敦子/阪脩/大塚明夫/山寺宏一/仲野裕/大川透/小野塚勇人/山口太郎/玉川纱己子,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2531981961.jpg,神山健治,9.3,动画,tt1024214,日语,日本,间指向了2030年，自从爆发第四次世界大战以来，各国的政治力量发生了根本性的变化，由于战乱不断，激增的难民终于获准进入日本，以填补因经济不断发展造成的劳动力短缺。而就在此时，一个自称“个别的十一人”的恐怖组织展开了一系列极端袭击事件，难民营、外国领事馆、甚至是总理都遭到了恐怖袭击……,2006
3607017,马斯格雷夫仪式,杰瑞米·布雷特/爱德华·哈德威克/迈克尔·卡尔佛,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2518184319.jpg,大卫·卡森,9.2,悬疑/犯罪,tt0685625,英语,英国,马斯格雷夫典礼，一个古老仪式，它的咒语是这样的：“太阳在哪里？在像树上面。阴影在哪里？在榆树下面。怎样测到它？向北10步又10步，向东5步又5步，向南2步又2步，向西1步又1步，就在下面”。它在说什么？,1986
3676849,显贵的主顾,杰瑞米·布雷特/爱德华·哈德威克/罗莎莉·威廉姆斯,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2518184536.jpg,蒂姆·沙利文,9.2,悬疑/犯罪,tt0536973,英语,英国,福尔摩斯办过很多疑难怪案，但拆散他人婚姻的勾当，这还是第一次。因为拆散他人婚姻而被人狂殴到头破血流，也是第一次。因为拆散别人婚姻而被指控盗窃，更是第一次……,1991
1303913,南海十三郎,谢君豪/潘灿良/苏玉华/梁汉威/吴绮莉/黄霑/周志辉,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2328424489.jpg,高志森,9.2,剧情/爱情/传记,tt0134836,粤语,中国香港,开片是说书人因聚众滋事，被警察（黄霑 饰）带到了警局问话，借说书人之口讲述了粤剧金牌编剧——南海十三郎艺海浮沉的一生。作为粤剧名家江太史公的十三子，江誉镠（谢君豪 饰）自由顽皮，出入名流场所。一次偶然的舞会，他遇到了上海的千金小姐莉莉（吴绮莉 饰），然而双方有缘相逢，无份结亲。后来，他跟随她来到上海，竟落得穷困潦倒。,1997
2077558,Jam,克里斯多夫·莫利斯/阿米莉亚·布摩/朱莉娅·戴维斯/凯文·埃尔登/马克·希普,https://img3.doubanio.com/view/subject/l/public/s2401735.jpg,克里斯多夫·莫利斯,9.2,喜剧,tt0240273,英语,英国,"With Jam, the TV follow-up to his Radio 1 series Blue Jam, Chris Morris focuses more on unease more than the satire of Brass Eye. Indeed, it's a moot point whether Jam can actually be categorised as comedy at all. Each sketch is steeped in a heavy brine of dark, ambient music (including Bark Psychosis, David Sylvian and Brian Eno), grainy imagery, fast-cut editing and slo-motion. Its mirthless, Kafka-esque scenarios feel like an attempt to morph into some new species of post-comedy that is more like the stuff of nightmares. The credits, in which Morris stalks the moving camera, uttering Lear-esque words of foreboding immediately announce that this ""sketch show"" is a galaxy apart from The Two Ronnies.",2000
1293847,生之欲,志村乔/千秋实/藤原釜足/金子信雄/中村伸郎,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2079076441.jpg,黑泽明,9.1,剧情,tt0044741,日语 / 英语,日本,市政府市民科科长渡边勘治（志村乔饰）是名近三十年全勤的模范公务员，然而他和同事们每天忙碌却人浮于事，不知道自己在忙些什么。一帮妇女联合到市政府申请填平社区附近的臭水池，在上面建造个小公园。市民科的接待人员告诉她们要把问题反映到土木课，公园课把她们推到建设科……，申请书转 了一圈后，又被踢回市民科。,1952
1466243,罗马11时,伊娃·瓦尼切克/卡拉·德尔·波吉奥/马西莫·吉洛蒂/露西娅·波塞/雷夫·瓦朗/埃莱娜·瓦尔齐/莱亚·帕多瓦尼/德利娅·斯卡拉/伊雷娜·加尔特/保罗·斯托帕/玛丽亚·格拉齐亚·弗兰恰/阿曼多·弗兰西欧利/保拉·布鲁布尼,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2230837721.jpg,朱塞佩·德·桑蒂斯,9.1,剧情,tt0045098,意大利语,意大利 / 法国,意大利新现实主义的代表作，但因其反应现实的力度致使当时的意大利政府采取了全面封杀的态度，结果使这部片子的知名度大幅度降低，但本片无论从表现手法，还是演员表演，到对社会，人性的刻画揭露，无不表现出深厚的功力和艺术水准，其成就足以使它超越《偷自行车的人》成为新现实主义的巅峰之作,1952
2211826,夜之河,山本富士子/上原谦/小野道子,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2362794678.jpg,吉村公三郎,9.1,剧情,tt0253967,日语,日本,京都堀川东一带染坊林立，其中舟木由次郎经营着一家名叫“丸由”的五十年老店。由次郎年老，染坊的担子落到了技艺出色美貌坚强的长女纪和身上。周围不少传统的染坊相继倒闭，纪和四处寻找展示自己京染作品的场所，开拓自家染坊的生意。纪和在一次返家途中遇到了学画的大学生冈本，冈本对其产生了好感。不久后，纪和结识了大阪大学的教授竹村及其女淳子，纪和心仪竹村，频频与其见面。在纪和的努力下，成功地打开了东京的市场。冈本知道了纪和与竹村的关系后，劝她不要接近竹村，却惹怒了纪和。数日后，纪和从淳子处得知，原来竹村有个卧病在床的妻子，大为惊诧的纪和决定忘记竹村……,1956
4047730,蝶影红梨记,任剑辉/白雪仙/靓次伯/梁醒波,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2517260323.jpg,李铁,9.1,爱情/歌舞,tt0205010,粤语,中国香港,"書生趙汝州與紫玉樓名妓謝素秋在佛寺中憑壁上題詩結緣, 詩詞互傳, 神交三載, 互生情愫. 本相約賞燈節在佛寺見面, 惜相爺急召秋回府, 二人緣慳一面. 奸相王黼迫秋和番通敵, 秋裝死脫身.",1959
1419479,女人步上楼梯时,高峰秀子/森雅之/团令子/仲代达矢/加东大介/中村雁治郎/小泽荣太郎,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1676504317.jpg,成濑巳喜男,9.1,剧情,tt0054144,日语,日本,妈妈桑keiko（高峰秀子 饰）是银座Club的老板娘，年届三十，正值人生转折期，面对着再婚与事业的抉择犹豫不决。Keiko早年丧夫，婚姻一直没有起色，事业方面生意也日渐冷清，心境萧条的她只将生活重心放在照顾年轻一代的公关小姐junko、yukiko们身上。Club年轻的经理（仲达代矢 饰）暗恋keiko，但以事业为重的他不愿表白，则通过与yukiko的肉体关系来淡化心里对keiko的情愫。然而，难以控制的情感让他最终鼓起勇气表白，心境苍凉的keiko会接受吗？,1960
